algorithm,validation_method,remove_outliers,scale_data,use_pca,params,time,conf_matrix,accuracy,precision,recall,f1
decision_tree_classifier,cross_validation,True,True,True,"{'max_depth': 10, 'min_samples_split': 2}",0.12057089805603027,"[[93.0, 62.0, 37.0, 4.0, 0.0, 56.0, 20.0], [29.0, 99.0, 46.0, 2.0, 5.0, 63.0, 43.0], [5.0, 22.0, 198.0, 36.0, 3.0, 29.0, 58.0], [0.0, 5.0, 27.0, 225.0, 3.0, 2.0, 35.0], [0.0, 0.0, 0.0, 1.0, 321.0, 0.0, 2.0], [25.0, 58.0, 29.0, 7.0, 3.0, 140.0, 28.0], [5.0, 33.0, 45.0, 21.0, 6.0, 37.0, 143.0]]",0.5774595618345618,0.5679340962506075,0.5806081906121048,0.5662512293867619
decision_tree_classifier,cross_validation,True,True,True,"{'max_depth': 10, 'min_samples_split': 10}",0.11200475692749023,"[[102.0, 71.0, 25.0, 4.0, 0.0, 52.0, 18.0], [31.0, 105.0, 37.0, 1.0, 4.0, 67.0, 42.0], [9.0, 32.0, 193.0, 27.0, 5.0, 22.0, 63.0], [0.0, 11.0, 27.0, 221.0, 7.0, 1.0, 30.0], [0.0, 0.0, 4.0, 2.0, 317.0, 0.0, 1.0], [24.0, 71.0, 27.0, 5.0, 1.0, 131.0, 31.0], [6.0, 50.0, 51.0, 19.0, 4.0, 35.0, 125.0]]",0.5656130113366955,0.5565941488463692,0.5751701256171383,0.5590701073052751
decision_tree_classifier,cross_validation,True,True,True,"{'max_depth': 10, 'min_samples_split': 20}",0.11070394515991211,"[[110.0, 66.0, 25.0, 2.0, 0.0, 47.0, 22.0], [39.0, 99.0, 35.0, 1.0, 4.0, 69.0, 40.0], [2.0, 25.0, 207.0, 32.0, 5.0, 31.0, 49.0], [0.0, 6.0, 34.0, 216.0, 1.0, 6.0, 34.0], [0.0, 0.0, 3.0, 2.0, 318.0, 0.0, 1.0], [27.0, 71.0, 32.0, 2.0, 2.0, 122.0, 34.0], [9.0, 29.0, 57.0, 31.0, 5.0, 49.0, 110.0]]",0.559939948920212,0.5497278277938425,0.5672553207039863,0.5512433882609482
decision_tree_classifier,cross_validation,True,True,True,"{'max_depth': 50, 'min_samples_split': 2}",0.11600017547607422,"[[97.0, 63.0, 22.0, 2.0, 0.0, 53.0, 35.0], [28.0, 102.0, 28.0, 5.0, 3.0, 70.0, 51.0], [5.0, 19.0, 200.0, 21.0, 3.0, 27.0, 76.0], [0.0, 5.0, 25.0, 222.0, 1.0, 1.0, 43.0], [0.0, 0.0, 1.0, 1.0, 321.0, 0.0, 1.0], [18.0, 67.0, 26.0, 4.0, 2.0, 136.0, 37.0], [4.0, 33.0, 35.0, 27.0, 5.0, 37.0, 149.0]]",0.5812440730203888,0.5716529203953221,0.5931257408122017,0.5734420601192034
decision_tree_classifier,cross_validation,True,True,True,"{'max_depth': 50, 'min_samples_split': 10}",0.11600279808044434,"[[105.0, 62.0, 25.0, 4.0, 0.0, 56.0, 20.0], [34.0, 99.0, 45.0, 1.0, 4.0, 61.0, 43.0], [6.0, 35.0, 186.0, 29.0, 5.0, 26.0, 64.0], [0.0, 10.0, 31.0, 218.0, 1.0, 0.0, 37.0], [0.0, 0.0, 4.0, 2.0, 318.0, 0.0, 0.0], [34.0, 65.0, 25.0, 4.0, 2.0, 128.0, 32.0], [9.0, 51.0, 47.0, 20.0, 5.0, 31.0, 127.0]]",0.5594543407043407,0.550684585813074,0.5649654117474654,0.5528635881096546
decision_tree_classifier,cross_validation,True,True,True,"{'max_depth': 50, 'min_samples_split': 20}",0.11400103569030762,"[[113.0, 60.0, 17.0, 2.0, 0.0, 50.0, 30.0], [40.0, 101.0, 29.0, 2.0, 4.0, 65.0, 46.0], [2.0, 28.0, 200.0, 33.0, 5.0, 30.0, 53.0], [0.0, 5.0, 33.0, 217.0, 7.0, 6.0, 29.0], [0.0, 0.0, 4.0, 2.0, 317.0, 0.0, 1.0], [34.0, 65.0, 31.0, 2.0, 1.0, 121.0, 36.0], [10.0, 29.0, 53.0, 32.0, 4.0, 45.0, 117.0]]",0.5618359088753825,0.5524575142609399,0.5646370783173202,0.5531751584882212
decision_tree_classifier,cross_validation,True,True,True,"{'max_depth': 100, 'min_samples_split': 2}",0.1199958324432373,"[[95.0, 59.0, 18.0, 5.0, 0.0, 49.0, 46.0], [30.0, 99.0, 27.0, 3.0, 3.0, 68.0, 57.0], [3.0, 35.0, 197.0, 26.0, 2.0, 22.0, 66.0], [2.0, 6.0, 21.0, 222.0, 7.0, 3.0, 36.0], [0.0, 0.0, 0.0, 1.0, 321.0, 0.0, 2.0], [28.0, 60.0, 24.0, 4.0, 2.0, 138.0, 34.0], [7.0, 34.0, 42.0, 23.0, 4.0, 31.0, 149.0]]",0.5783997963274279,0.5691645115832941,0.5828573491317037,0.5695145536595346
decision_tree_classifier,cross_validation,True,True,True,"{'max_depth': 100, 'min_samples_split': 10}",0.12500524520874023,"[[105.0, 69.0, 22.0, 1.0, 0.0, 49.0, 26.0], [35.0, 108.0, 36.0, 2.0, 4.0, 58.0, 44.0], [4.0, 32.0, 190.0, 30.0, 5.0, 26.0, 64.0], [1.0, 10.0, 27.0, 220.0, 3.0, 1.0, 35.0], [0.0, 0.0, 3.0, 2.0, 317.0, 0.0, 2.0], [27.0, 71.0, 25.0, 4.0, 2.0, 126.0, 35.0], [9.0, 49.0, 47.0, 25.0, 5.0, 33.0, 122.0]]",0.5627707552049658,0.5539459200171407,0.5688910063836292,0.555871462202478
decision_tree_classifier,cross_validation,True,True,True,"{'max_depth': 100, 'min_samples_split': 20}",0.13999605178833008,"[[113.0, 62.0, 18.0, 1.0, 0.0, 48.0, 30.0], [38.0, 97.0, 35.0, 1.0, 4.0, 64.0, 48.0], [2.0, 25.0, 204.0, 31.0, 5.0, 29.0, 55.0], [0.0, 6.0, 32.0, 218.0, 1.0, 6.0, 34.0], [0.0, 0.0, 3.0, 2.0, 318.0, 0.0, 1.0], [37.0, 63.0, 29.0, 2.0, 2.0, 120.0, 37.0], [8.0, 32.0, 60.0, 27.0, 5.0, 47.0, 111.0]]",0.5594637699900857,0.5493789407508224,0.5651670197898432,0.5514584890422638
decision_tree_classifier,holdout,True,True,True,default,0.046942710876464844,"[[28, 21, 8, 0, 0, 14, 11], [6, 44, 8, 0, 1, 15, 12], [1, 4, 65, 10, 0, 9, 17], [0, 0, 10, 71, 0, 2, 6], [0, 0, 0, 0, 97, 0, 0], [6, 26, 9, 2, 0, 36, 8], [3, 9, 13, 6, 0, 11, 45]]",0.6088328075709779,0.5992980229325838,0.6129355833897792,0.5987854743097328
