algorithm,validation_method,remove_outliers,scale_data,use_pca,params,accuracy,precision,recall,f1,best_params
decision_tree_classifier,cross_validation,True,True,True,{'max_depth': 10},0.10933333333333332,0.12260623582766439,0.5974577831065593,0.08638731699874964,
decision_tree_classifier,cross_validation,True,True,True,{'max_depth': 50},0.11200000000000002,0.12428299319727891,0.3349025685425685,0.09630878541226681,
decision_tree_classifier,cross_validation,True,True,True,{'max_depth': 100},0.11199999999999999,0.13206666666666667,0.30295728715728715,0.09875744255744257,
decision_tree_classifier,holdout,True,True,True,,0.14666666666666667,0.13366666666666666,0.3049184149184149,0.1319455642396819,default
decision_tree_classifier,cross_validation,False,True,True,{'max_depth': 10},0.11333333333333333,0.12713832199546485,0.5856342072433135,0.08684403863177034,
decision_tree_classifier,cross_validation,False,True,True,{'max_depth': 50},0.10533333333333332,0.1287333333333333,0.33346255773212297,0.09361621265917942,
decision_tree_classifier,cross_validation,False,True,True,{'max_depth': 100},0.11466666666666667,0.12726031746031746,0.27525039682539687,0.10107406852406853,
decision_tree_classifier,holdout,False,True,True,,0.14222222222222222,0.1343333333333333,0.35898814398814394,0.13115549953922045,default
decision_tree_classifier,cross_validation,True,False,True,{'max_depth': 10},0.09066666666666667,0.09913197278911565,0.4606854380908153,0.06773098171812342,
decision_tree_classifier,cross_validation,True,False,True,{'max_depth': 50},0.09066666666666666,0.10757142857142857,0.19135093795093794,0.07865627705627705,
decision_tree_classifier,cross_validation,True,False,True,{'max_depth': 100},0.09466666666666666,0.11673333333333333,0.18976825396825397,0.0826992562992563,
decision_tree_classifier,holdout,True,False,True,,0.12444444444444444,0.12133333333333333,0.18763247863247862,0.1229095349095349,default
decision_tree_classifier,cross_validation,False,False,True,{'max_depth': 10},0.09733333333333334,0.10830068027210885,0.45570752314956786,0.07664131776233635,
decision_tree_classifier,cross_validation,False,False,True,{'max_depth': 50},0.10666666666666666,0.12993333333333332,0.20050793650793652,0.09617535797535798,
decision_tree_classifier,cross_validation,False,False,True,{'max_depth': 100},0.08933333333333333,0.10386666666666666,0.13833391053391053,0.06744225774225775,
decision_tree_classifier,holdout,False,False,True,,0.1288888888888889,0.11833333333333335,0.18615826330532212,0.11696162774423646,default
decision_tree_classifier,cross_validation,True,True,False,{'max_depth': 10},0.16666666666666669,0.18831207482993195,0.9539447887540744,0.1733578741461888,
decision_tree_classifier,cross_validation,True,True,False,{'max_depth': 50},0.368,0.39415646258503395,0.4192389374797538,0.3622363763220906,
decision_tree_classifier,cross_validation,True,True,False,{'max_depth': 100},0.35733333333333334,0.38465986394557816,0.4193778101716877,0.3507240297117848,
decision_tree_classifier,holdout,True,True,False,,0.35555555555555557,0.3653333333333333,0.37869841269841276,0.3609277944277944,default
decision_tree_classifier,cross_validation,False,True,False,{'max_depth': 10},0.17066666666666666,0.19150935374149658,0.9585067217012314,0.17695393394745976,
decision_tree_classifier,cross_validation,False,True,False,{'max_depth': 50},0.35333333333333333,0.37608804664723033,0.41469949936684625,0.349911007359987,
decision_tree_classifier,cross_validation,False,True,False,{'max_depth': 100},0.36533333333333334,0.39856870748299317,0.43361111111111106,0.36283018115671173,
decision_tree_classifier,holdout,False,True,False,,0.36,0.3686666666666666,0.39556349206349206,0.3706550116550117,default
decision_tree_classifier,cross_validation,True,False,False,{'max_depth': 10},0.16666666666666666,0.18569869614512471,0.9557714609302564,0.17065615293029093,
decision_tree_classifier,cross_validation,True,False,False,{'max_depth': 50},0.3426666666666666,0.37186258503401354,0.4195006802721088,0.3412777159348588,
decision_tree_classifier,cross_validation,True,False,False,{'max_depth': 100},0.3626666666666667,0.39204897959183677,0.435937641723356,0.35479587124893247,
decision_tree_classifier,holdout,True,False,False,,0.37777777777777777,0.38666666666666655,0.4630252525252525,0.38862296527002405,default
decision_tree_classifier,cross_validation,False,False,False,{'max_depth': 10},0.16666666666666666,0.1887670068027211,0.9478447521515069,0.1732435836747555,
decision_tree_classifier,cross_validation,False,False,False,{'max_depth': 50},0.36933333333333335,0.392825267249757,0.436217592838001,0.36936529728774625,
decision_tree_classifier,cross_validation,False,False,False,{'max_depth': 100},0.3493333333333333,0.37447891156462576,0.4181613864593457,0.3446442428319979,
decision_tree_classifier,holdout,False,False,False,,0.3244444444444444,0.33333333333333326,0.40737179487179487,0.3423635253635253,default
svm_classifier,cross_validation,True,True,True,{'C': 0.01},0.028000000000000004,0.028588435374149658,0.9684727874094221,0.0052605026308300724,
svm_classifier,cross_validation,True,True,True,{'C': 0.1},0.028000000000000004,0.028588435374149658,0.9684727874094221,0.0052605026308300724,
svm_classifier,cross_validation,True,True,True,{'C': 1},0.15466666666666667,0.1509350907029478,0.9042136249738171,0.13729108001481435,
svm_classifier,cross_validation,True,True,True,{'C': 10},0.26933333333333337,0.2829156462585034,0.792513716459881,0.22507661943987248,
svm_classifier,holdout,True,True,True,,0.29333333333333333,0.28200000000000003,0.749136767925561,0.2814578420257934,default
svm_classifier,cross_validation,False,True,True,{'C': 0.01},0.028000000000000004,0.028588435374149658,0.9684727874094221,0.0052605026308300724,
svm_classifier,cross_validation,False,True,True,{'C': 0.1},0.028000000000000004,0.028588435374149658,0.9684727874094221,0.0052605026308300724,
svm_classifier,cross_validation,False,True,True,{'C': 1},0.15466666666666667,0.1509350907029478,0.9042136249738171,0.13729108001481435,
svm_classifier,cross_validation,False,True,True,{'C': 10},0.26933333333333337,0.2829156462585034,0.792513716459881,0.22507661943987248,
svm_classifier,holdout,False,True,True,,0.29333333333333333,0.28200000000000003,0.749136767925561,0.2814578420257934,default
svm_classifier,cross_validation,True,False,True,{'C': 0.01},0.03866666666666667,0.03811224489795918,0.9534029128289863,0.004419016153778037,
svm_classifier,cross_validation,True,False,True,{'C': 0.1},0.03866666666666667,0.03811224489795918,0.9534262988067541,0.004443202962842731,
svm_classifier,cross_validation,True,False,True,{'C': 1},0.2293333333333333,0.23664964366699062,0.6396164025236463,0.18002983286643798,
svm_classifier,cross_validation,True,False,True,{'C': 10},0.38133333333333336,0.3976713313896988,0.4888594722737579,0.3483326971155113,
svm_classifier,holdout,True,False,True,,0.40444444444444444,0.391,0.5366644466644467,0.38947636024106624,default
svm_classifier,cross_validation,False,False,True,{'C': 0.01},0.03866666666666667,0.03811224489795918,0.9534262988067541,0.004443202962842731,
svm_classifier,cross_validation,False,False,True,{'C': 0.1},0.03866666666666667,0.03811224489795918,0.9534029128289863,0.004419016153778037,
svm_classifier,cross_validation,False,False,True,{'C': 1},0.22799999999999998,0.2360393424036281,0.6430886284255013,0.18005000740089822,
svm_classifier,cross_validation,False,False,True,{'C': 10},0.37466666666666665,0.3931018464528669,0.4790012398032807,0.34250860746843564,
svm_classifier,holdout,False,False,True,,0.40444444444444444,0.391,0.5330800310800311,0.3884542059247941,default
svm_classifier,cross_validation,True,True,False,{'C': 0.01},0.044,0.03954081632653061,0.9625935217064823,0.005833529028030571,
svm_classifier,cross_validation,True,True,False,{'C': 0.1},0.044,0.03954081632653061,0.9625935217064823,0.005833529028030571,
svm_classifier,cross_validation,True,True,False,{'C': 1},0.15733333333333333,0.14466592970521544,0.8918988408255899,0.11105124794439196,
svm_classifier,cross_validation,True,True,False,{'C': 10},0.23466666666666666,0.22173078231292515,0.867668256892865,0.196485746466654,
svm_classifier,holdout,True,True,False,,0.27111111111111114,0.2346666666666667,0.85848360789241,0.2384361471861472,default
svm_classifier,cross_validation,False,True,False,{'C': 0.01},0.044,0.03954081632653061,0.9625935217064823,0.005833529028030571,
svm_classifier,cross_validation,False,True,False,{'C': 0.1},0.044,0.03954081632653061,0.9625935217064823,0.005833529028030571,
svm_classifier,cross_validation,False,True,False,{'C': 1},0.15733333333333333,0.14466592970521544,0.8918988408255899,0.11105124794439196,
svm_classifier,cross_validation,False,True,False,{'C': 10},0.23466666666666666,0.22173078231292515,0.867668256892865,0.196485746466654,
svm_classifier,holdout,False,True,False,,0.27111111111111114,0.2346666666666667,0.85848360789241,0.2384361471861472,default
svm_classifier,cross_validation,True,False,False,{'C': 0.01},0.032,0.03171768707482993,0.956649614963419,0.0030417018167733087,
svm_classifier,cross_validation,True,False,False,{'C': 0.1},0.032,0.03171768707482993,0.956649614963419,0.0030417018167733087,
