algorithm,validation_method,remove_outliers,scale_data,use_pca,params,time,conf_matrix,accuracy,precision,recall,f1
decision_tree_classifier,cross_validation,True,True,True,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.08285975456237793,"[[87.0, 74.0, 17.0, 8.0], [60.0, 45.0, 21.0, 10.0], [17.0, 24.0, 5.0, 3.0], [8.0, 4.0, 5.0, 7.0]]",0.36446526332022516,0.2989916502655938,0.29150285273356696,0.29183179512580965
decision_tree_classifier,cross_validation,True,True,True,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.0762944221496582,"[[80.0, 80.0, 16.0, 10.0], [63.0, 49.0, 17.0, 7.0], [19.0, 21.0, 6.0, 3.0], [10.0, 4.0, 7.0, 3.0]]",0.34919808774770605,0.26248971954579575,0.24625450135387586,0.2486858641641059
decision_tree_classifier,cross_validation,True,True,True,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 20}",0.07403182983398438,"[[90.0, 75.0, 15.0, 6.0], [64.0, 45.0, 20.0, 7.0], [20.0, 22.0, 3.0, 4.0], [7.0, 7.0, 6.0, 4.0]]",0.3594147582697201,0.2647494585822234,0.33310165296403454,0.2533587171937632
decision_tree_classifier,cross_validation,True,True,True,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.07380127906799316,"[[101.0, 65.0, 13.0, 7.0], [68.0, 43.0, 17.0, 8.0], [17.0, 27.0, 3.0, 2.0], [12.0, 7.0, 2.0, 3.0]]",0.3796553319454083,0.2646029686214755,0.23604927500936582,0.24597941497184792
decision_tree_classifier,cross_validation,True,True,True,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.07333517074584961,"[[100.0, 65.0, 13.0, 8.0], [69.0, 43.0, 16.0, 8.0], [16.0, 28.0, 3.0, 2.0], [11.0, 7.0, 3.0, 3.0]]",0.37713007942015575,0.26316618701228006,0.23545442087677584,0.24501132220587374
decision_tree_classifier,cross_validation,True,True,True,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 20}",0.07135486602783203,"[[105.0, 62.0, 15.0, 4.0], [68.0, 44.0, 18.0, 6.0], [20.0, 23.0, 2.0, 4.0], [9.0, 7.0, 5.0, 3.0]]",0.38973706530958435,0.267150407611664,0.32943206695070004,0.25298924107917414
decision_tree_classifier,cross_validation,True,True,True,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 10, 'min_samples_split': 2}",0.06743860244750977,"[[116.0, 55.0, 13.0, 2.0], [69.0, 49.0, 15.0, 3.0], [13.0, 29.0, 3.0, 4.0], [12.0, 8.0, 3.0, 1.0]]",0.42778934381987815,0.2697086721641604,0.3535825710167835,0.26530677512389816
decision_tree_classifier,cross_validation,True,True,True,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 10, 'min_samples_split': 10}",0.06452250480651855,"[[117.0, 55.0, 12.0, 2.0], [69.0, 49.0, 15.0, 3.0], [12.0, 29.0, 4.0, 4.0], [12.0, 8.0, 3.0, 1.0]]",0.4328398488703833,0.2763537871066892,0.3667311140160728,0.27388648526882564
decision_tree_classifier,cross_validation,True,True,True,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 10, 'min_samples_split': 20}",0.06412768363952637,"[[115.0, 55.0, 14.0, 2.0], [69.0, 49.0, 15.0, 3.0], [13.0, 29.0, 3.0, 4.0], [12.0, 8.0, 3.0, 1.0]]",0.42526409129462567,0.26827189055496503,0.35002218032952714,0.2637459211422868
decision_tree_classifier,cross_validation,True,True,True,"{'criterion': 'gini', 'max_depth': 50, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07317328453063965,"[[85.0, 68.0, 20.0, 13.0], [59.0, 45.0, 24.0, 8.0], [17.0, 24.0, 6.0, 2.0], [6.0, 5.0, 9.0, 4.0]]",0.35444136016655103,0.26980633915080016,0.2668193291650432,0.2656922783922751
