ID,"handicapped-infants","water-project-cost-sharing","adoption-of-the-budget-resolution","physician-fee-freeze","el-salvador-aid","religious-groups-in-schools","anti-satellite-test-ban","aid-to-nicaraguan-contras","mx-missile","immigration","synfuels-crporation-cutback","education-spending","superfund-right-to-sue","crime","duty-free-exports","export-administration-act-south-africa"
102,y,n,y,n,y,y,y,n,n,n,y,n,n,y,n,y
413,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
30,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
298,y,y,y,n,n,y,y,y,y,y,n,n,unknown,n,y,unknown
95,y,n,y,n,y,y,n,n,n,n,n,n,n,n,n,y
340,y,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n
237,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
368,y,y,y,n,y,y,y,y,n,y,y,n,n,n,y,unknown
27,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
182,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
43,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
418,y,y,y,n,n,n,y,y,y,y,y,n,y,n,n,y
130,unknown,unknown,y,n,n,n,y,y,unknown,n,unknown,unknown,unknown,unknown,unknown,unknown
204,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
59,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
220,n,y,y,n,n,n,n,y,y,n,y,n,n,y,y,y
175,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
13,n,y,y,n,n,n,y,y,y,n,n,n,y,n,unknown,unknown
348,y,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
302,n,n,unknown,n,n,y,y,y,y,n,n,n,n,n,y,y
132,n,n,y,n,n,y,n,y,y,y,n,n,n,y,n,y
322,y,y,y,n,n,n,y,y,y,y,n,n,y,n,n,y
416,n,y,y,n,n,y,y,y,unknown,y,n,n,n,n,n,y
73,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,unknown
248,n,y,n,y,y,y,unknown,n,n,n,n,unknown,y,y,n,n
419,y,y,y,n,n,n,y,y,n,y,n,n,n,n,n,y
212,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
385,y,y,y,y,y,y,n,n,n,n,y,y,y,y,n,y
48,y,n,y,n,n,n,y,y,unknown,n,n,n,n,n,n,unknown
319,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
350,n,y,y,y,y,y,y,y,y,n,n,y,y,y,n,y
4,n,y,y,n,unknown,y,n,n,n,n,y,n,y,n,n,y
274,n,n,n,y,y,n,y,y,n,y,n,y,y,y,unknown,y
25,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
408,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n
381,y,y,y,n,n,y,unknown,y,y,n,y,n,y,n,y,y
75,y,n,y,n,n,y,y,y,y,y,y,n,n,y,y,y
144,unknown,y,n,n,n,n,y,y,y,y,y,n,n,y,y,y
234,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
346,n,n,n,y,y,y,y,n,n,y,n,y,n,y,y,y
26,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
187,n,y,y,n,n,n,y,y,y,y,y,n,n,n,y,y
29,y,n,n,y,y,n,y,y,y,n,n,y,y,y,n,y
399,n,y,y,n,y,y,n,y,n,n,n,n,n,n,n,y
197,n,n,y,n,n,y,y,y,y,n,y,y,n,y,y,unknown
