algorithm,validation_method,remove_outliers,scale_data,use_pca,impute_missing_values,params,time,conf_matrix,accuracy,precision,recall,f1
decision_tree_classifier,cross_validation,True,True,True,True,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.0856471061706543,"[[131.0, 6.0], [11.0, 70.0]]",0.9220573313039067,0.9109083038900314,0.9213555472975763,0.9153947650413105
decision_tree_classifier,cross_validation,True,True,True,True,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.07484793663024902,"[[132.0, 5.0], [24.0, 57.0]]",0.8668188736681888,0.8374515137665747,0.8845387377612441,0.8486593154678261
decision_tree_classifier,cross_validation,True,True,True,True,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 20}",0.07368993759155273,"[[133.0, 4.0], [27.0, 54.0]]",0.8575596144089296,0.8226366989517597,0.8881279700643349,0.8333446301531408
decision_tree_classifier,cross_validation,True,True,True,True,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.07457494735717773,"[[130.0, 7.0], [22.0, 59.0]]",0.8670091324200913,0.8428527483344759,0.8757074070337111,0.8517478503790482
decision_tree_classifier,cross_validation,True,True,True,True,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.07115888595581055,"[[130.0, 7.0], [22.0, 59.0]]",0.8670091324200913,0.8428527483344759,0.8757074070337111,0.8517478503790482
decision_tree_classifier,cross_validation,True,True,True,True,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 20}",0.07253456115722656,"[[130.0, 7.0], [22.0, 59.0]]",0.8670091324200913,0.8428527483344759,0.8757074070337111,0.8517478503790482
decision_tree_classifier,cross_validation,True,True,True,True,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 10, 'min_samples_split': 2}",0.07213377952575684,"[[131.0, 6.0], [22.0, 59.0]]",0.8715753424657534,0.8462541088786937,0.8831737968530421,0.8567176372128041
decision_tree_classifier,cross_validation,True,True,True,True,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 10, 'min_samples_split': 10}",0.07074427604675293,"[[131.0, 6.0], [22.0, 59.0]]",0.8715753424657534,0.8462541088786937,0.8831737968530421,0.8567176372128041
decision_tree_classifier,cross_validation,True,True,True,True,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 10, 'min_samples_split': 20}",0.07335853576660156,"[[131.0, 6.0], [22.0, 59.0]]",0.8715753424657534,0.8462541088786937,0.8831737968530421,0.8567176372128041
decision_tree_classifier,cross_validation,True,True,True,True,"{'criterion': 'gini', 'max_depth': 50, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.0750429630279541,"[[128.0, 9.0], [11.0, 70.0]]",0.9082318619989853,0.9000995359384064,0.9033278038195224,0.901065399100163
decision_tree_classifier,cross_validation,True,True,True,True,"{'criterion': 'gini', 'max_depth': 50, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.0838022232055664,"[[132.0, 5.0], [24.0, 57.0]]",0.8668188736681888,0.8374515137665747,0.8845387377612441,0.8486593154678261
decision_tree_classifier,cross_validation,True,True,True,True,"{'criterion': 'gini', 'max_depth': 50, 'min_samples_leaf': 1, 'min_samples_split': 20}",0.08103513717651367,"[[133.0, 4.0], [27.0, 54.0]]",0.8575596144089296,0.8226366989517597,0.8881279700643349,0.8333446301531408
decision_tree_classifier,cross_validation,True,True,True,True,"{'criterion': 'gini', 'max_depth': 50, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.07543706893920898,"[[130.0, 7.0], [22.0, 59.0]]",0.8670091324200913,0.8428527483344759,0.8757074070337111,0.8517478503790482
decision_tree_classifier,cross_validation,True,True,True,True,"{'criterion': 'gini', 'max_depth': 50, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.07060050964355469,"[[130.0, 7.0], [22.0, 59.0]]",0.8670091324200913,0.8428527483344759,0.8757074070337111,0.8517478503790482
decision_tree_classifier,cross_validation,True,True,True,True,"{'criterion': 'gini', 'max_depth': 50, 'min_samples_leaf': 5, 'min_samples_split': 20}",0.06912636756896973,"[[130.0, 7.0], [22.0, 59.0]]",0.8670091324200913,0.8428527483344759,0.8757074070337111,0.8517478503790482
decision_tree_classifier,cross_validation,True,True,True,True,"{'criterion': 'gini', 'max_depth': 50, 'min_samples_leaf': 10, 'min_samples_split': 2}",0.06959080696105957,"[[131.0, 6.0], [22.0, 59.0]]",0.8715753424657534,0.8462541088786937,0.8831737968530421,0.8567176372128041
decision_tree_classifier,cross_validation,True,True,True,True,"{'criterion': 'gini', 'max_depth': 50, 'min_samples_leaf': 10, 'min_samples_split': 10}",0.07418417930603027,"[[131.0, 6.0], [22.0, 59.0]]",0.8715753424657534,0.8462541088786937,0.8831737968530421,0.8567176372128041
